_order	tweet_id	tweet_text	class_label
17	1168207605065404417	Hurricane Dorian has become the strongest hurricane in modern record to impact the northwest Bahamas! Catastrophic damage is occurring in the Abacos Islands of the Bahamas.	other_relevant_information
46	1168276245416751110	Many of the hurricane readings were looking at are provided by hurricane hunter airplanes. That is a tool that doesnt exist in @AOCs #GreenNewDeal. #RealityCheck #Dorian	other_relevant_information
84	1168351085481943041	Casualties being reported @ Abaco. Reports of people dead in Marsh Harbour &amp; Turtle Cay including women &amp; children. The death toll likely to rise. #Dorian #Dorian2019	injured_or_dead_people
85	1168009139336994816	@4SCAlliance @Orlando_CityUK @OrlandoCitySC Let’s just say everyone’s worried about Dorian and their families and chop this one up as a waste of plane fuel.	not_humanitarian
141	1168190459061121025	Praying hard for #Bahamas and its people right now. Will be comparing if, how quickly and how much aid the US govt offers BAH post-#Dorian v the same for PR/USVI after #Maria. @realDonaldTrump @SenRickScott @marcorubio @RepGusBilirakis	sympathy_and_support
167	1167541870320332802	If any ordinary citizen had two claims on the same property, the insurance company would drop them. Trump gets paid for the first claim without so much as an adjuster checking all of the damage before issuing a check	not_humanitarian
178	1168363939404701696	I want to do a fundraiser for the people who liv4 in the Bahamas. Dorian really did ALOT of damage. Wow ὢD	infrastructure_and_utility_damage
210	1167810963480993793	Thinking today about all my Florida friends @she_veatch @rebelmusicteach @caitteach @ValeriaBrownEdu and many more. Love y’all and sending good vibes that Dorian will pass speedily and with minimal damage to your beautiful families and communities Ὁ7	infrastructure_and_utility_damage
213	1168397694878048256	So we not getting destroyed by this right?	not_humanitarian
233	1168249622336348161	The governor has suspended tolls on some roads ahead of Hurricane #Dorian #WFTV INFO:	other_relevant_information
249	1168131191578464256	@jwhittalTWN Now a Cat 5. Thoughts and prayers #Dorian	sympathy_and_support
258	1167779289514893314	On its current path, Dorian may bring some strong wind gusts to coastal areas on Wednesday. This could still change. All depends on the track of the Storm. Stay tuned.	caution_and_advice
307	1168133686061088768	Even as Volusia and Flagler County residents and officials took a cautious sigh of relief Saturday at the eastward change to Hurricane Dorian’s path, the storm intensified into a catastrophic” Category 5 hurricane.	other_relevant_information
353	1168274743805579264	Ron DeSantos said DORIAN May hit the Florida coast now. If it hits, I don’t care what Beto says, we want thoughts and prayers. We believe in God. Beto is a MORON. So please keep on eye on this monster. If it don’t turn soon, we are in trouble. How do you become a meteorologist?	not_humanitarian
376	1167843734060507137	Always good to have all the facts when donating to victims of Hurricane Dorian. #bbbclevelandtn #startwithtrust #hurricaneseason #donating	rescue_volunteering_or_donation_effort
401	1168230063915094016	In addition to a state of emergency being declared in North Carolina with the approach of #HurricaneDorian, yesterday South Carolina Gov. Henry McMaster also declared one. Georgia Gov. Brian Kemp did the same on Thursday for 12 counties.	other_relevant_information
426	1168205496211451904	Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage Dorian will not do that much damage	infrastructure_and_utility_damage
508	1167515945193103360	Hurricane Dorian is coming! Stock food and water. Miamians:	caution_and_advice
