_order	tweet_id	tweet_text	class_label
28	1063169817795067904	The Local Assistance Center will host local, state, and federal agencies along with community organizations, to answer questions about disaster assistance. The center at 1982 E. 20th St. will be open 9 a.m. to 7 p.m. daily. #ParadiseFire #ParadiseCA	other_relevant_information
37	1067204968237711360	@KayaJones Those people at the border are treated better, have better temporary housing than the Americans displaced by the California fires, it is not right	displaced_people_and_evacuations
92	1065702928424542208	Please help my friend Paris Lincoln .. her house was burned down in LA fires she was only able to get out with a suitcase	requests_or_urgent_needs
102	1064388541680099328	Published on November 9, 2018@9:45am: Wildfires scorch California: What we know and don&amp;apos;t know  #USA TODAY on	not_humanitarian
231	1062218451970912256	Fueled by blustery winds and parched vegetation, two massive fires burning in California both grew overnight, leaving thousands of exhausted firefighter battling to stretch containment lines around the raging blazes that have killed at least 44 people	injured_or_dead_people
241	1061647312232071168	23 dead in California and your president is blaming the fires while skipping an appearance for the WW1 centenary and blaming a light rain. The United States is led by the weakest leader its ever had. He’s disgraceful.	injured_or_dead_people
275	1061263444911906816	Every now and then Trump fires off a tweet where he’s like, You probably remember I’m an idiot, a compulsive liar, and a cruel asshole - but I’m worried you forgot I’m an actual sociopath!”	not_humanitarian
291	1065541781192814593	Never see trump do that Im surprised trump didnt throw wetnaps at the California fire victims	not_humanitarian
348	1061229445095346181	@realDonaldTrump Every day in every way, Trump shows on Twitter how stupid and petty he is. Blaiming forest fires on forest management and vowing to not help American citizens, simply because California didnt vote for him. TRUMP NEEDS TO BE REMOVED FROM OFFICE. HE IS A MENACE TO SOCIETY.	not_humanitarian
376	1065385541129170945	The easy way to donate to relief fund for the fires burning near my home is to take a few seconds to retweet this using the #retweet4good All the money goes to a great organization for the immediate needs and the recovery efforts for the #CampFireParadise	rescue_volunteering_or_donation_effort
410	1064282516343988224	California Wildfires: Made homeless by flames, evacuees face hardship, disease and desperation. Rain is coming &amp; these people need a shelter over their heads,” said Debby Barbero, volunteer. - Los Angeles Times	displaced_people_and_evacuations
432	1065620924546863106	Joyce Alexander of #Rochester is spending her #Thanksgiving all the way across the country in California, helping the @RedCross with wildfire relief efforts. @AFreemanNews reports:	rescue_volunteering_or_donation_effort
436	1061556308254572544	@realDonaldTrump People died. people died and youre trying to use them as props in a political dickwaving contest with California about fires that happen outside of forests that are controlled by the federal government anyway you truly are one of the single worst human beings on the planet	injured_or_dead_people
444	1064184395836223488	Agree or not This is worth Consideration Misguided Environmentalism Is To Blame For Californias Wildfires	other_relevant_information
483	1062246727997042694	RT @Oregonian: California wildfires: At least 42 dead in most lethal single blaze in state history	injured_or_dead_people
487	1062680955163295744	It is the decades upon decades of liberal, pro-treehuggers politics that have contributed to the wildfires ravaging California. Ending logging that would have systematically CLEARED OUT all that dead, dry brush fuelling the fires.	not_humanitarian
499	1065643026733662208	Actually, even California says Trump is right about the wildfires  #California #Environment #News #Politics #Trump #Wildfires	other_relevant_information
578	1064569098770747397	Red sky at morning, sailors take warning”. Hoping this beautiful sunrise brings a gentle, long rain to California. #fires #californiafires #paradise #malibu	other_relevant_information
610	1065284077987651584	California veterinary clinics didn’t escape wildfires ⁦@ucdavisvetmed⁩ #veterinary ⁦@TheCVMA⁩ ⁦@SCVMA⁩ ⁦@sacbee_news⁩ #pets #animals	rescue_volunteering_or_donation_effort
648	1061154368865685505	Thanks to everyone who braved the surrounding fires and smoke to attend my solo acoustic show in Oxnard, California tonight! May God bless you all!	sympathy_and_support
666	1063170985304584192	@Nvr4Get91101 @RealSaavedra @DLoesch @KamalaHarris @SenKamalaHarris California’s bowing to tree huggers for generations has led to the destruction of the state by fire. Their own fault— sorry normal people have to live with the results.	infrastructure_and_utility_damage
667	1065488557622603777	Jammu and Kashmir: Terrorists attack Army camp in Kulgam; one civilian injured	injured_or_dead_people
684	1065534727921287168	Local volunteers collect to feed animals displaced by Camp Fire victims	rescue_volunteering_or_donation_effort
686	1063019583458684929	US Police Say 130 People Missing, 56 Killed in Disastrous California Wildfires:  via @SputnikInt	missing_or_found_people
693	1064135045277900800	many wildfires in Californiahave started in shrub land, not forests. They also point out that forest management in California is largely a federal responsibility; around 60 percent of the 33 million acres of forests in the state is owned by the federal government.	other_relevant_information
699	1061417905831755786	California wildfires leave at least 11 dead, destroy thousands of buildings, prompt evacuations of more than 250,000 people	injured_or_dead_people
700	1064937211961925632	Google, Camp Fire donations or Woolsey Fire donations etc. you will see a box with a blue yes donate button in it. @Google partners with the Center for Disaster Philanthropy (CDP) to help ensure your #donation is used where needed most for the disaster you choose. #campfire	rescue_volunteering_or_donation_effort
723	1061792089883729922	@realDonaldTrump You are uneducated about the conditions in California. The fires have nothing to do with the lack of forestry management. Dumbass.	not_humanitarian
724	1065297687359250432	The Animal Welfare Groups are working very hard re: CALIFORNIA WILDFIRES - under life-threatening pressures to save the animals and find their owners if possible. Help them if you can.	rescue_volunteering_or_donation_effort
740	1061276832979447808	@realDonaldTrump many of Californias ongoing fires, like the Mendocino Complex, are not burning in forests—theyre in grasses or chaparral, which the state does not clearcut anyway” What Trump Got Wrong About Californias Wildfire Policies  via @pacificstand	other_relevant_information
756	1066659096588357632	CA Camp fire survivor’s story. Generators, Coors and canned food. How these ‘mountain boys’ are surviving in Paradise  #CaliforniaWildfires	other_relevant_information
856	1066760094866640896	Death toll mounting. Trump administration responsible for NATIONAL forests where fires were most widespread. Investigators have yet to determine the cause of the fire.  via @HuffPost	injured_or_dead_people
881	1067207703053897728	@BreitbartNews Get California fires under control first. Horrible for this earth.	not_humanitarian
899	1063170098800746497	Just a reminder that there are thousands of people, who’ve just lost everything, living in tents, in parking lots or on cots in makeshift housing in this air! #CampFire #ThankYouFirefighter @CAL_FIRE and @RedCross #Priorities	displaced_people_and_evacuations
926	1062636538545065984	@Lyricoldrap  Started a fundraising page to help with animals and people in need as much as I can. For vet care. Animal housing. Food clothing. Hotel stays. Whatever is needed. Paradise California fires	rescue_volunteering_or_donation_effort
939	1064463653649477633	Heartbreaking Photos Show Devastation of Camp Fire in #CaliforniaWildfires as Death Toll Rises to 71 #PrayForCaliforniaὤF	injured_or_dead_people
946	1065808568870465536	Celebrity chefs were among hundreds of volunteers serving #Thanksgiving meals to wildfire victims. @PattersonNBC reports from California.	rescue_volunteering_or_donation_effort
971	1064725106554036224	For all the California victims of fire, and the mass shooting, and their loved ones. God bless all their souls, and help us all to find peace. ♥️	sympathy_and_support
1013	1065017841122852865	Trumps tweets and public statements suggest that what California needs to do to prevent wildfires is hoard water and cut down trees to prevent fires spreading. Theres a whole lot more to it than that.	not_humanitarian
1092	1061815653101907969	Like Dantes Inferno: 25 dead and toll could rise in historic California fires - USA TODAY	injured_or_dead_people
1175	1062174239795617792	#BREAKING Death toll climbs to 42 in Northern California fire. Deadliest in state history. -abc7 #Maddow #lastword #msnbc #cnn	injured_or_dead_people
1234	1061447616557408256	Horrible news. The death toll in the Camp Fire in California has climbed to at least 23.	injured_or_dead_people
1264	1066725822571180034	Sending blessings &amp; love to all first responders, organizations, boots on the ground &amp; those affected by #CampFire. Apropos the fire reached containment on this #thanksgiving wknd. Amongst tragedy, we must be grateful for human connection &amp; will to help 1 another when in need.	sympathy_and_support
1372	1061379837896650752	I wonder if the Liberals want ⁦@realDonaldTrump⁩ help now? Remember, when they talked about being not part of the USA. California wildfires leave at least 11 dead, destroy thousands of buildings, prompt evacuations of more than 250,000 people	injured_or_dead_people
1451	1065154893466533888	PARADISE, Calif. (AP) State report: Remains of 2 more found, bringing Northern California wildfire death toll to 81. - FOX5Atlanta	injured_or_dead_people
1453	1062123461676535809	Does Anyone Find It Ironic That Now That Obama Is Gone California No Longer Has A Surplus There Were Fires When ὒ5He Was In Office Also ᾒB?Now They All Of A Sudden Having All These Fires Needing Money ??? ᾒB@POTUS @GOP @DHSgov @MattWhitaker46	not_humanitarian
1493	1061386060138209285	RT @hipEchik: #CampFire animal volunteers needed. No experience necessary!	rescue_volunteering_or_donation_effort
1496	1065709696680632320	RT @ItsAngryBob: California anon talks about the fires. #Qanon	not_humanitarian
1547	1062387846147903488	@KamalaHarris If the democrats in California weren’t so full of hot air the fires wouldn’t be a problem ᾓ7‍♂️ᾒAᾒAᾒA	not_humanitarian
1564	1064491817264193536	.@RepAdamSchiff said @realDonaldTrump needs to listen to the experts” when it comes to the wildfires ravaging the state, adding that clearly” the president isnt one of them.”  #MoronPresident	not_humanitarian
1605	1064059801255075842	Sacramento News 5 more found dead; Camp Fire death toll rises to 76	injured_or_dead_people
1646	1064673168294535168	RT @DfwOutreach: California Wildfires Relief Fund 2018	rescue_volunteering_or_donation_effort
