_order	tweet_id	tweet_text	class_label
0	735891446960623616	RT @DonBradshawNTV: How @MarshallAmpsUK came to the assistance of Fort McMurray wildfire victim, tonite on @NTVNewsNL at 6 pm.	other_relevant_information
25	728578805959286784	RT @LondonDrugs: Huge thank you to our customers. In 2 days we’ve collected over $15,000 for @redcrosscanada for Wildfire Relief and we’re	rescue_volunteering_or_donation_effort
72	731595326520492032	Red Cross gets $2M donation fro	rescue_volunteering_or_donation_effort
82	729788498266357760	RT @redcrosscanada: RT @BJMCBC: @Gov_NB contributing $75K to @redcrosscanada relief efforts in #FortMcMurray #wildfire, says @BrianGallantN	rescue_volunteering_or_donation_effort
91	728633060145692673	A reminder, Friends. We are accepting donations in support of the Fort McMurray wildfire crisis through St.	rescue_volunteering_or_donation_effort
97	728654777115021312	RT @TDellerCBC: Latest wildfire figures for Sask show 7 fires burning in this prov (down from 10 yesterday), and all are contained.	other_relevant_information
98	733166048711598082	OSP Canada Prayer for the victims of Fort McMurray – Alberta (Canada) wildfire by @PMCandidate on @LinkedIn	sympathy_and_support
106	728605486686294017	Strangers help bride who lost dress in Fort McMurray wildfire	rescue_volunteering_or_donation_effort
110	729704420649230337	RT @ScottTalking: Mon ST Show! @AM900CHML- Premier will tour Fort McMurray to survey damage. How will residence cope?	not_humanitarian
115	728777578308349952	Continued thoughts and prayers for the people of Fort McMurray #FortMcMurrayStrong #ymmfire #AlbertaStrong	sympathy_and_support
128	728594196349648896	humans are the worst when it comes to fires no respect for anyone elses safety	not_humanitarian
146	732479878977589248	Workers Evacuated From Alberta Oil Camps Due to Wildfire: Some 8,000 workers at oil camps north of the fire-ravaged Canadian city of	displaced_people_and_evacuations
163	732356254106943489	Bring your toonies tomorrow @woodlandsrams to Rm 138 to support support the fire loss relief efforts. #FortMacFire	rescue_volunteering_or_donation_effort
169	728555493422080000	Donations Pour In For Wildfire Victims	rescue_volunteering_or_donation_effort
172	729916822334537728	RT @Bewickwren: RT @Alberta411: Canada to Review Russia’s Offer to Assist With Alberta Wildfire  #AB #ymmfire #FortM	rescue_volunteering_or_donation_effort
183	728999486031269888	RT @AlbertaatNoon: How are you dealing with the Fort McMurray wildfire? How is it affecting you? Thoughts to share today? Tweet or call 1 8	other_relevant_information
188	733085856605601793	RT @JamieThomasTV: Words cannot describe how good of a job Scottie Upshall did in writing this on @PlayersTribune about Fort McMurray. http	other_relevant_information
198	730053745317392384	!!!NO MORE FOSSIL FUELS !!! Repair crews assess damage to wildfire-hit Canadian energy boomtown  via @Reuters	infrastructure_and_utility_damage
204	728590142437363712	.@bostonpizza provides assistance and $400,000 in hot meal vouchers in #FortMcMurray #wildfire relief efforts	rescue_volunteering_or_donation_effort
205	730723788225011713	The Wildfire Relief initiative is now complete, and I will personally match all of the contributions 2 for 1. Thanks, all!	rescue_volunteering_or_donation_effort
217	729091544645574656	RT @dogrescuersinc: Help pets affected by the #FortMcMurray wildfire. If ud like 2 donate Pls drop off at @OakvilleHumane by 12pm May 8 ht	rescue_volunteering_or_donation_effort
237	729743372563308545	RT @NWSMarquette: Wildfire concerns are elevated today (Mon)again.Debris burning is not permitted in the U.P. Report any fires to 911. http	other_relevant_information
250	728756310758449152	RT @amainsurance: 100% no truth. All home and tenants policies cover damage from wildfire. #ymmfire	infrastructure_and_utility_damage
253	732026675039371264	BC Wildfire Service just sent out a release about smoky conditions in the Peace. #yxj	caution_and_advice
254	730043662713823232	Video and pics of Mondays Fort McMurray wildfire damage media tour. #ymmfire #yeg #ymm	infrastructure_and_utility_damage
262	732372948858720256	RT @C_DIG: BREAKING: #ymmfire - More evacuations as wildfire approaches - Work camps evacuated.	displaced_people_and_evacuations
273	735882598656970754	Alberta Wildfire Economic Pain Singes Beyond Energy Sector  The wildfire that has ravaged northern Alberta and cut	other_relevant_information
281	732622878743613444	New wildfire forces evacuation of 8,000 oilsands workers from work camps north of Fort Mac	displaced_people_and_evacuations
293	729088004912975872	wildfire crises in Canada, #FortMcMurray with more than 80,000 evacs and growing!  donations matched by Fed Govt!	displaced_people_and_evacuations
301	731482943235981313	RT @GlobalEdmonton: Fort McMurray wildfire: Search these high-resolution satellite maps of the damage #ymm	infrastructure_and_utility_damage
313	728643313453047808	For #FortMcMurray #wildfire, donate to support @redcrosscanada. #FortMacFire #ymmfire #ABfire	rescue_volunteering_or_donation_effort
321	730052359049580544	I need Head Shaker emoticon again as we turn down international aircraft help for fires:  #notpolitics #lotsoffires	requests_or_urgent_needs
330	728702822154407936	#AlbertaStrong Wildfire Fundraiser Beaumont Blues and Crepe &amp; Shake Cafe	rescue_volunteering_or_donation_effort
345	730854759469621251	@WellsFargo Donates $100,000 for Alberta Wildfire Relief Efforts | Business Wire	rescue_volunteering_or_donation_effort
353	730954708198645762	RT @CBCEdmonton: Fort McMurray still faces fire threat, officials say  #yymfire	caution_and_advice
355	731286615994204160	$180 will be donated to the Fort Mac wildfire relief! Thank you all for your donations and participation ὠA	rescue_volunteering_or_donation_effort
356	732593939169959936	Canada wildfire shifts north, oil sands camps warned to evacuate	displaced_people_and_evacuations
366	733699508803112960	University of Alberta students affected by wildfire receive bursaries; Red Deer brewery recognized at 2016 World Beer Cup; Alberta Chamber	rescue_volunteering_or_donation_effort
371	730214519792762880	A friend indeed: Brandt, John Deere Foundation join forces to support Fort McMurray wildfire recovery efforts	rescue_volunteering_or_donation_effort
372	728901062246158337	Ottawa will review #Russia’s offer to assist Canada in dealing with the Alberta wildfire. Read more:  #FortMcMurray	rescue_volunteering_or_donation_effort
373	729444703632957440	Russia wildfire aid offer still in limbo	other_relevant_information
375	730847411300487168	Wells Fargo Donates $100,000 for Alberta Wildfire Relief Efforts	rescue_volunteering_or_donation_effort
376	729083360295964672	Hot dry winds cause #FortMacFire to grow explosively. May double in size in forested areas	infrastructure_and_utility_damage
397	732959610051698689	RT @AmericanIndian8: Attawapiskat makes $5,000 donation to Fort McMurray wildfire relief  #INDIGENOUS #TAIRP	rescue_volunteering_or_donation_effort
398	728699824128675840	@Lauren_Southern @ryanjespersen He has a point. How are wildfire issues related to refugees. I AM glad you value them enough to mention.	not_humanitarian
422	734706270905585664	MoneyGram Waives Fees for Donations to American Red Cross for Wildfire Relief Efforts in Canada: Company also	rescue_volunteering_or_donation_effort
434	730216073593798656	RT @mashable: Striking satellite images show #FortMcMurray wildfires destruction	infrastructure_and_utility_damage
438	728629175465086976	if you can - Canadian Red Cross needs help:	rescue_volunteering_or_donation_effort
441	729471266713788416	CHANGE WARS BEGINS TOMORROW!! Reminder that half the money made will go towards Fort McMurray wildfire relief!	rescue_volunteering_or_donation_effort
446	729779326288318465	Areas in Northern MB are experiencing wildfire smoke. Please see link below MB Health website for more information	caution_and_advice
453	728782375170215936	Wow &gt;&gt;These Maps Show The Insane Size Of The Fort McMurray Wildfire	infrastructure_and_utility_damage
456	730144165728681985	RT @UrtheCast: The #FortMcMurray wildfire, from space: . Relief donations:	rescue_volunteering_or_donation_effort
458	728582479716605952	Syrians join to help those in need: People across Canada are helping those affected by the wildfire thats de	rescue_volunteering_or_donation_effort
474	729315674837782528	Have you donated to the Canadian Red Cross?Ive donated to the Fort McMurray wildfire relief.Donate now pls #ymmfire	rescue_volunteering_or_donation_effort
503	730565580261052417	RT @AviWoolf: I cant help it, I laughed. Im a bad person.	not_humanitarian
512	732568497088172032	RT @marantophoto: BBC News - Canada wildfire: Oil workers urged to leave Fort McMurray camps  #ymmfire	caution_and_advice
524	731570617934221312	Ready to unload whatever youve got in support of wildfire relief. Come to the Enmax &amp; lets keep adding up empties	rescue_volunteering_or_donation_effort
534	735866589828894720	RT @NVanDistrict: Happening now. Crews practice their wildfire emergency response. Remember, this is just an exercise. #NorthVan .	caution_and_advice
537	734084401294770177	RT @AHNnewspaper: Rain and snow persist as evacuation alerts lifted in wildfire areas, @mpreprost reports. #yxj #BCwildfire #weather :	displaced_people_and_evacuations
545	729339355710500865	RT @InCalifornia45: From Alberta 5/7~ 80,000 evacd, 300 flights out, 250,000 acres and 1,600 homes burned, but no deaths. @allanhawco htt	displaced_people_and_evacuations
575	728765169283698689	Wildfire Evacuees Glimpse Burned out City on Way South: Displaced residents at oil field camps north of Fort	displaced_people_and_evacuations
576	733873883305107457	The donors will get electronic receipt instantly. Donations to the Community Coalition in Aid of Alberta Wildfire.	rescue_volunteering_or_donation_effort
590	732700088477175808	RT @livviento: Keep people of Alberta, Canada in your thoughts (and prayers if youre into that). #YmmFire #CanPoli	sympathy_and_support
592	730025053329444864	RT @PA: Our map shows the range of damage caused by the #FortMcMurray wildfire in Canada - about the size of the M25	infrastructure_and_utility_damage
601	728988422052798464	[Watch Syrian Refugees Unite To Help Alberta Wildfire Victims]  via @AOLOn	rescue_volunteering_or_donation_effort
604	728643740584157184	Fire season is starting early. Be ready #Lantzville #Nanamio do you have a plan and 72 hours of supplies?	caution_and_advice
615	733454224281862144	B.C.-born WWE wrestler Tyler Breeze helps raise funds for wildfire victims	rescue_volunteering_or_donation_effort
620	730202253848678401	5 year old boys lemonade stand raises more than $2,500 for Alberta wildfire relief. Great job!	rescue_volunteering_or_donation_effort
627	729379971081216000	Ignorance spreads faster than forest fires. Natural renewal phenomenon for 1000s of years. Facts vs. Ideology	other_relevant_information
639	730831322936147968	RT @GTboutique: In one week, our generous customers have raised over $100,000 for the Fort McMurray Wildfire Relief Effort. #ThankYou #ymmf	rescue_volunteering_or_donation_effort
640	728644089319690240	RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :	requests_or_urgent_needs
653	729123881064144896	RT @AP: As Alberta wildfire creeps closer to oil sands territory, officials evacuate nearby work camps:	displaced_people_and_evacuations
655	728591678408413185	I cant imagine what they have been through, and this is only the beginning. Donate today #yymfire #FortMac	rescue_volunteering_or_donation_effort
664	732665631078670336	Tzu Chi thick blankets for the Alberta Wildfire. Our volunteers are working hard!	rescue_volunteering_or_donation_effort
674	732341212338774016	RT @RMWoodBuffalo: All camps north of Fort McMurray up to and incl Ruth Lake are being evacuated. #ymm #ymmfire	displaced_people_and_evacuations
677	733015256839159808	Fort Mac food bank braces for wave of new users following devestating wildfire.	other_relevant_information
694	729456018497773568	@dee_downing maybe we should put pictures of wildfire destruction on cig pkgs so smokers get the message #FireBan	not_humanitarian
696	729705306037440512	#Kamloops U13 team raises almost $3300 for Fort McMurray wildfire victims. Well done!	rescue_volunteering_or_donation_effort
703	728924945313611776	Hudsons Bay Company Foundation Donates $100,000 to Canadian Red Cross and Mobilizes Customers to	rescue_volunteering_or_donation_effort
707	730471045216378881	⚡️ Red Cross, Alberta outline financial aid for wildfire evacuees	displaced_people_and_evacuations
709	728662025333710848	Saskatchewan donating $250,000 to help Fort McMurray wildfire victims: The province of Saskatchewan announced	rescue_volunteering_or_donation_effort
714	731538620616597504	Fort McMurray wildfire evacuation included transfer of 9 prisoners to Edmonton: Fort McMurray court appearances	displaced_people_and_evacuations
720	728572171350585344	RT @pkedrosky: Another remarkable Fort McMurray wildfire evacuation video	displaced_people_and_evacuations
748	728676078835896320	RT @OfficialOZFM: Classified is donating the proceeds from his song Work Away to Fort MacMurray relief efforts. - @RobertShawn13	rescue_volunteering_or_donation_effort
